"yr","date","h3grp","time","wind.2m","rain.rate","air.temp","date.time","ct","rain.cum","sim","man.dm","man.ph","app.rate.ni","tan.app","f0","r1","r2","r3","f4","f","s","j","e","e.int","er"
2020,2020-04-08,2,9,2.30102999566398,0,5.9,2020-04-08 09:00:00,72,0,143,6.5,7,30,100,0.322934597685581,0.0119189716608559,0.0158786853066665,0.000449353106180681,1,0.159665899632797,70.4823608965607,0.0336757232478557,29.3579732038065,0.101027169743567,0.293579732038065
2020,2020-04-08,3,12,3.50267899339962,0,13.8,2020-04-08 12:00:00,75,0,143,6.5,7,30,100,0.322934597685581,0.0688326306799967,0.0158786853066665,0.000449353106180681,1,0.123834940862856,70.3941221130558,0.0413565807582733,29.4820429460814,0.12406974227482,0.294820429460813
2020,2020-04-08,4,15,3.27257599383322,0,16.6,2020-04-08 15:00:00,78,0,143,6.5,7,30,100,0.322934597685581,0.102126142545432,0.0158786853066665,0.000449353106180681,1,0.0869153862225683,70.3042549317725,0.0422622453078615,29.6088296820049,0.126786735923584,0.296088296820049
2020,2020-04-08,5,18,3.06803999421864,0,15.3333333333333,2020-04-08 18:00:00,81,0,143,6.5,7,30,100,0.322934597685581,0.0767799488361669,0.0158786853066665,0.000449353106180681,1,0.0658223318662791,70.2131565953694,0.0373971302531224,29.7210210727643,0.112191390759367,0.297210210727643
2020,2020-04-08,6,21,2.14762799595305,0,10.9,2020-04-08 21:00:00,84,0,143,6.5,7,30,100,0.322934597685581,0.0263572976458557,0.0158786853066665,0.000449353106180681,1,0.057988877328562,70.121511838347,0.0331594038533941,29.8204992843245,0.0994782115601822,0.298204992843245
2020,2020-04-08,7,24,2.37773099551945,0,6.8,2020-04-09 00:00:00,87,0,143,6.5,7,30,100,0.322934597685581,0.0142545279859886,0.0158786853066665,0.000449353106180681,1,0.0529766675694088,70.0296869427037,0.0322790351341512,29.9173363897269,0.0968371054024537,0.299173363897269
2020,2020-04-09,0,3,3.016905994315,0,6.4,2020-04-09 03:00:00,90,0,143,6.5,7,30,100,0.322934597685581,0.016618155185184,0.0158786853066665,0.000449353106180681,1,0.048055714695142,69.9377492149669,0.0322862268703285,30.0141950703379,0.0968586806109855,0.300141950703379
2020,2020-04-09,1,6,3.8350499927733,0,6.23333333333333,2020-04-09 06:00:00,93,0,143,6.5,7,30,100,0.322934597685581,0.0214420304555724,0.0158786853066665,0.000449353106180681,1,0.0429655620955895,69.8456966987077,0.032380889619585,30.1113377391967,0.0971426688587549,0.301113377391967
2020,2020-04-09,2,9,3.63051399315873,0.0333333333333333,6.03333333333333,2020-04-09 09:00:00,96,0.0166666666666667,143,6.5,7,30,100,0.322934597685581,0.0193117806728751,0.0163662278677447,0.000449353106180681,1,0.0386043470380847,69.7536031980724,0.0321515718976203,30.2077924548895,0.096454715692861,0.302077924548895
2020,2020-04-09,3,12,5.13896699031622,0,8.96666666666667,2020-04-09 12:00:00,99,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0534833398396403,0.0158786853066665,0.000449353106180681,1,0.0313520235566668,69.6612936343095,0.0331872957480949,30.3073543421338,0.0995618872442847,0.303073543421338
