"par.set","country","inst","man.source","app.mthd","ct.grp","n.obs","ct.mean","er.mean","MBE","MAE","RMSE","ME"
"ALFAM1","UK",202,"pig","bsth","(120,144]",9,142.733333333333,0.141868555555556,5.88010096044595e-05,0.0560853348037682,0.0673902919295916,-0.266878890637483
"ALFAM1","UK",202,"pig","bsth","(144,168]",9,147.922222222222,0.104873777777778,0.022167895281286,0.0682751604050505,0.0867896741021448,-0.255542884804432
"b","CH",207,"cat","bc","(0,24]",277,6.96423671480144,0.141150106498195,-0.015352195894354,0.0310189666201496,0.0450201308638441,0.76426412435327
"b","CH",207,"cat","bc","(24,48]",115,34.6387739130435,0.230490956521739,-0.00519342764762379,0.0360929331162927,0.0475730280277936,0.729831230196771
"b","CH",207,"cat","bc","(48,72]",23,52.7354347826087,0.237946086956522,0.0203436289188936,0.0304177587291742,0.0382788092759845,0.913738473203521
"b","CH",207,"cat","bc","(72,96]",3,82.8666666666667,0.454346666666667,0.0133831668998893,0.0133831668998893,0.0147888440690662,-895.270458105931
"b","CH",207,"cat","bc","(96,120]",4,108.2,0.461145,0.0344754616721422,0.0344754616721422,0.0354390140590068,-1046.45415439587
"b","CH",207,"cat","bsth","(0,24]",142,7.6614438028169,0.0577338253521127,0.0162714278504055,0.0261977785364021,0.0339850855130333,0.504585524024657
"b","CH",207,"cat","bsth","(24,48]",45,32.8487333333333,0.109463911111111,0.0181537881457999,0.0378304013089687,0.0461399779693656,0.51109232841483
"b","CH",207,"cat","bsth","(48,72]",17,56.6598235294118,0.152029411764706,0.00455717262824969,0.0306831724669471,0.0331653944555566,0.796436397167882
"b","CH",207,"cat","bsth","(72,96]",3,76.517,0.201216666666667,-0.0035029221697169,0.0267913281900925,0.0274465938469971,0.530806946420886
"b","CH",207,"cat","os","(0,24]",8,10.125,0.047273,-0.0294957227097434,0.0294957227097434,0.0298436749757882,-9.78145118595756
"b","CH",207,"cat","os","(24,48]",8,36.779125,0.063516,-0.0189768539082899,0.0189768539082899,0.0197494871052843,-92.3821639443923
"b","CH",207,"cat","ts","(0,24]",54,7.81443481481482,0.04909008,-0.0085236378164586,0.0100088489261251,0.0147297809605683,0.802974189771487
"b","CH",207,"cat","ts","(24,48]",25,35.07112,0.08790132,-0.00536274159671353,0.0154547333637712,0.0189897378938159,0.23020267048677
"b","CH",207,"cat","ts","(48,72]",5,53.1498,0.0855212,0.0065323315550718,0.0065323315550718,0.00949161902951247,0.51899519235599
"b","CH",207,"pig","bc","(0,24]",58,6.66436310344828,0.0680149724137931,-0.0228142583312325,0.0237039320900475,0.0320686962244061,0.106794112296317
"b","CH",207,"pig","bc","(24,48]",29,35.437275862069,0.108222724137931,0.000127719474899629,0.0203606823728637,0.0243480571445392,-0.325402739409301
"b","CH",207,"pig","bc","(48,72]",5,51.7734,0.123424,0.0282076418438289,0.031900344097017,0.0389928778039154,-5.18275120920843
"b","DK",104,"cat","bsth","(0,24]",6,9.69438333333333,0.0828356333333333,0.0344063783126541,0.0517727469626908,0.0768126050539081,0.0409472135416495
"b","DK",104,"cat","bsth","(24,48]",1,47.167,0.06707,0.17933055509748,0.17933055509748,0.17933055509748,-Inf
"b","DK",104,"cat","bsth","(48,72]",1,49.25,0.35363,-0.121625592361124,0.121625592361124,0.121625592361124,-Inf
"b","DK",104,"cat","bsth","(72,96]",2,95.292,0.259175,0.00149701072623504,0.164953011589575,0.164959804417879,-0.128779544867038
"b","DK",104,"cat","bsth","(144,168]",2,167.71,0.295915,-0.006447876323925,0.175497169834982,0.175615579403358,-0.141166128610545
"b","DK",104,"pig","bc","(0,24]",18,13.0611111111111,0.0878151666666667,0.00610714137840156,0.0259422008905853,0.0350313056294031,-1.4250196968589
"b","DK",104,"pig","bc","(24,48]",9,45.2611111111111,0.11897,0.039142721642389,0.0467774951041199,0.0571676715305348,-3.0762083195687
"b","DK",104,"pig","bc","(72,96]",9,94.4377777777778,0.134363555555556,0.108541469403137,0.108541469403137,0.119573837857789,-12.5269609309956
"b","DK",104,"pig","bc","(144,168]",8,165.08,0.147276375,0.198150244665593,0.198150244665593,0.208359725015413,-42.5371633791516
"b","DK",104,"pig","bc","(168,192]",1,172.05,0.20539,0.168955145391312,0.168955145391312,0.168955145391312,-Inf
"b","DK",104,"pig","bsth","(0,24]",39,10.3662512820513,0.0573497512820513,-0.00501049213603129,0.0255740568852752,0.037277606481004,0.343338767165982
"b","DK",104,"pig","bsth","(24,48]",15,41.7400666666667,0.100746466666667,-0.0117194139734939,0.0440486107000804,0.0608737597747162,-0.0171181218484562
"b","DK",104,"pig","bsth","(48,72]",4,49.4585,0.19399725,-0.0937389563584372,0.106119393562343,0.133974928673529,-1.07810963759
"b","DK",104,"pig","bsth","(72,96]",11,94.547,0.121556090909091,0.00173186373228509,0.0480863510276441,0.0615689260017219,0.117448839014305
"b","DK",104,"pig","bsth","(96,120]",6,96.375,0.176228166666667,-0.0415659853698871,0.0869698251652357,0.115332354358629,-0.140326023191286
"b","DK",104,"pig","bsth","(144,168]",10,165.277,0.1185501,0.0500609691872767,0.0640098500231757,0.0740564052155887,-0.886466793701398
"b","DK",104,"pig","bsth","(168,192]",7,169.522857142857,0.217899285714286,-0.029621524040678,0.105775098005234,0.117318698819725,-0.0896123428457349
"b","DK",204,"cat","bsth","(0,24]",5,7.83622,0.1469872,0.026678439348461,0.026678439348461,0.0360608568990766,0.878245760746747
"b","DK",204,"cat","bsth","(24,48]",1,25.333,0.1054,0.000725577056596316,0.000725577056596316,0.000725577056596316,-Inf
"b","DK",204,"cat","bsth","(48,72]",2,50.283,0.249745,-0.00534675033674988,0.0152686059867524,0.0161777028017648,0.98500558773618
"b","DK",204,"cat","bsth","(72,96]",2,72.608,0.265495,-0.00673741187910551,0.0185809724115455,0.0197647477744424,0.977130082031462
"b","DK",204,"cat","bsth","(96,120]",1,96.917,0.14634,0.0194169557748242,0.0194169557748242,0.0194169557748242,-Inf
"b","DK",204,"cat","bsth","(144,168]",2,145.32,0.290655,0.00939460477173386,0.0314268803836191,0.0328010275671874,0.936896299257906
"b","DK",204,"cat","bsth","(168,192]",1,168.03,0.42757,-0.0195131615206873,0.0195131615206873,0.0195131615206873,-Inf
"b","DK",204,"cat","os","(0,24]",18,7.92778888888889,0.0892422222222222,-0.0629078824839924,0.0629078824839924,0.0948884635305278,-0.268951347498896
"b","DK",204,"cat","os","(24,48]",3,24.889,0.0499696666666667,-0.0195336251442163,0.0195336251442163,0.0236823543025943,-1.81235679288395
"b","DK",204,"cat","os","(48,72]",9,54.6944444444444,0.202530222222222,-0.136038915167409,0.136038915167409,0.174441722850205,-1.21306552906372
"b","DK",204,"cat","os","(72,96]",6,76.3638333333333,0.124182166666667,-0.0457142410253065,0.0511589267152981,0.0871173895388011,-0.332805596277718
"b","DK",204,"cat","os","(96,120]",2,96.7915,0.07545,0.0138746373885606,0.0138746373885606,0.0139878478527748,-8.96098523050563
"b","DK",204,"cat","os","(120,144]",1,143.07,0.33619,-0.219695732628527,0.219695732628527,0.219695732628527,-Inf
"b","DK",204,"cat","os","(144,168]",9,152.602222222222,0.203998111111111,-0.0787341497604018,0.11463816354027,0.144619026652869,-0.454613824025262
"b","DK",204,"cat","os","(168,192]",1,168.08,0.30223,-0.174942850870294,0.174942850870294,0.174942850870294,-Inf
"b","DK",204,"pig","bsth","(0,24]",22,9.02351818181818,0.0670931181818182,-0.025318702170194,0.03194053393815,0.0394364661250134,0.0931591424464236
"b","DK",204,"pig","bsth","(24,48]",2,24.5585,0.0834335,-0.0124748517153022,0.0578650974058884,0.0591945219012007,0.137445367025445
"b","DK",204,"pig","bsth","(48,72]",9,64.2647777777778,0.142166777777778,-0.0421323299552786,0.0641152030986619,0.0720926174481385,-0.277197489546324
"b","DK",204,"pig","bsth","(72,96]",2,72.4165,0.189745,-0.054445618417992,0.054445618417992,0.0546255260292861,-55.2253479918018
"b","DK",204,"pig","bsth","(96,120]",3,98.6056666666667,0.225526666666667,-0.0797068271156412,0.0797068271156412,0.0888759473923861,-14.907574460303
"b","DK",204,"pig","bsth","(144,168]",3,166.846666666667,0.24739,-0.0405899341278103,0.0456534720330264,0.0673226440476857,-5.16151368184137
"b","DK",204,"pig","bsth","(168,192]",5,174.93,0.137685,0.0558532827406497,0.0558532827406497,0.0688961857931031,0.132701608545034
"b","DK",205,"cat","bsth","(0,24]",18,9.62966666666667,0.142874166666667,0.0430213704120394,0.0441474395163877,0.0544953738042394,0.706180779888395
"b","DK",205,"cat","bsth","(24,48]",4,46.4415,0.2811025,-0.0334693427727624,0.0451462156082277,0.0562460846348927,0.625337784190939
"b","DK",205,"cat","bsth","(48,72]",4,60.075,0.286105,-0.0346480293657465,0.04443,0.0624960863897065,0.330026694688512
"b","DK",205,"cat","bsth","(72,96]",4,73.0415,0.384505,-0.0363108446412374,0.0382269574187692,0.0453991749169937,-1.75598702351922
"b","DK",205,"cat","bsth","(120,144]",2,141.07,0.41179,-0.0215187906164711,0.03995,0.0453768757143495,-0.29013635604927
"b","DK",205,"cat","bsth","(144,168]",4,165.365,0.3235975,-0.01999264995331,0.0386406164869245,0.0542785035334514,0.679487084217559
"b","DK",205,"cat","os","(0,24]",10,7.410074,0.0677551,-0.0434452747712407,0.0434452747712407,0.0541486682400945,-0.512115389077903
"b","DK",205,"cat","os","(24,48]",2,24.117,0.097358,-0.0478542951447295,0.0478542951447295,0.0478565349017131,-10682.6712994828
"b","DK",205,"cat","os","(48,72]",4,49.425,0.14924,-0.0852005432946974,0.0852005432946974,0.0859734614045647,-111.107384771103
"b","DK",205,"cat","os","(72,96]",4,74.5,0.16999,-0.0889285226865321,0.0889285226865321,0.0891568136918171,-128.819688647137
"b","DK",205,"cat","os","(120,144]",2,143.33,0.187605,-0.058599332978429,0.058599332978429,0.0586115163642504,-2404.63705153396
"b","DK",205,"cat","os","(144,168]",2,166.97,0.179525,-0.0437928947024323,0.0437928947024323,0.0451506083050133,-15.9245898916069
"b","DK",205,"pig","bsth","(0,24]",58,8.15057931034483,0.0590644068965517,-0.0239056756272028,0.028711553837809,0.0570061544652635,-0.0130392886776058
"b","DK",205,"pig","bsth","(24,48]",12,38.586,0.145942333333333,-0.0735729365293312,0.0780892656301608,0.121455527135997,-0.644698239704423
"b","DK",205,"pig","bsth","(48,72]",16,57.358375,0.1231381875,-0.033346963374713,0.0443396261148449,0.0759551545855791,-0.347097464578883
"b","DK",205,"pig","bsth","(72,96]",12,75.0416666666667,0.196365916666667,-0.0924032755906981,0.0968971619963912,0.139720880913018,-0.724137837111906
"b","DK",205,"pig","bsth","(120,144]",12,140.421666666667,0.137537166666667,0.0131844090750017,0.0542171458610305,0.0609779042036124,-0.602665886318517
"b","DK",205,"pig","bsth","(144,168]",6,159.043333333333,0.301978333333333,-0.123507094299459,0.123507094299459,0.148384083995515,-1.26711428926798
"b","DK",205,"pig","os","(0,24]",18,5.99447777777778,0.0261213888888889,-0.0192216966071594,0.0192216966071594,0.0209289240962733,-1.55704452435037
"b","DK",205,"pig","os","(24,48]",8,35.32475,0.052464375,-0.0206804621408178,0.0206804621408178,0.0227228590081761,-0.653198840272051
"b","DK",205,"pig","os","(48,72]",4,60.25,0.063231,-0.0160739854959803,0.0165454534860897,0.0196430064486305,-0.173542553065099
"b","DK",205,"pig","os","(72,96]",4,76.825,0.0695,-0.0111374879113195,0.0180952762116064,0.0184085203038963,0.242522202588452
"b","DK",205,"pig","os","(120,144]",4,139.865,0.0961855,0.024977176546793,0.024977176546793,0.0295615244064363,-2.18941809556089
"b","DK",205,"pig","os","(144,168]",2,146.65,0.0574975,0.027855176049563,0.027855176049563,0.0324866994168713,-2.77631763364769
"b","FR",208,"cat","bc","(0,24]",240,12.2,0.0790578875,0.0205723020736313,0.0572094455719984,0.0733428189207585,-1.46748011462243
"b","FR",208,"cat","bc","(24,48]",144,36.25,0.137793770833333,0.0295635372399622,0.0413993433801775,0.0597198676433795,-2.79711573452414
"b","FR",208,"cat","bc","(48,72]",144,60.25,0.173824722222222,0.0338767185529004,0.0513254305544032,0.0750313505470191,-25.5990102267258
"b","FR",208,"cat","bc","(72,96]",144,84.25,0.194100833333333,0.051709813439116,0.0612733732518687,0.0988102449701253,-46.6649707469322
"b","FR",208,"cat","bc","(96,120]",144,108.25,0.218681527777778,0.0624996808893928,0.070610164615022,0.115517533505306,-34.1301137859966
"b","FR",208,"cat","bc","(120,144]",144,132.25,0.240369513888889,0.0734018682161988,0.0773362934461779,0.130532814136639,-19.7179497287456
"b","FR",208,"cat","bc","(144,168]",144,156.25,0.267126180555556,0.0784320916074913,0.0879172213743578,0.14480096001529,-11.5405968550492
