"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"337-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,5
"338-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,4.1
"339-2010",2010,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,3.7
"162-2010",2010,"Autumn","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,5.2
"163-2010",2010,"Autumn","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,3.5
"164-2010",2010,"Autumn","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,2.2
"165-2010",2010,"Autumn","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",14.6,3.45,0.09,1.6
"139-2010",2010,"Winter-spring","Broadcast","None",0,"None","Cattle",6.5,6,"Barn acidified",12,3.53,0.09,37
"320-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow < 12 hr","Cattle",6.5,6,"Barn acidified",12,3.53,0.09,23
"321-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow > 12 hr","Cattle",6.5,6,"Barn acidified",12,3.53,0.09,23
"137-2010",2010,"Winter-spring","Broadcast","None",0,"Deep < 12 hr","Cattle",6.5,6,"Barn acidified",12,3.53,0.09,18
"138-2010",2010,"Winter-spring","Broadcast","None",0,"Deep > 12 hr","Cattle",6.5,6,"Barn acidified",12,3.53,0.09,18
"172-2010",2010,"Winter-spring","Broadcast","None",0,"None","Pig",3.9,6,"Barn acidified",12,3.53,0.09,21
"340-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow < 12 hr","Pig",3.9,6,"Barn acidified",12,3.53,0.09,12
"341-2010",2010,"Winter-spring","Broadcast","None",0,"Shallow > 12 hr","Pig",3.9,6,"Barn acidified",12,3.53,0.09,12
"170-2010",2010,"Winter-spring","Broadcast","None",0,"Deep < 12 hr","Pig",3.9,6,"Barn acidified",12,3.53,0.09,8.6
"171-2010",2010,"Winter-spring","Broadcast","None",0,"Deep > 12 hr","Pig",3.9,6,"Barn acidified",12,3.53,0.09,8.6
"120-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,8.9
"133-2000",2000,"March","Trailing hose","None",0,"None","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,8.9
"304-2000",2000,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,4.3
"305-2000",2000,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,3.5
"306-2000",2000,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,3
"307-2000",2000,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,2.9
"112-2000",2000,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,2.8
"113-2000",2000,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,1.7
"114-2000",2000,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,1.1
"115-2000",2000,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,6,"Barn acidified",4,4.02,0.09,0.84
"153-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,6,"Barn acidified",4,4.02,0.09,6.7
"166-2000",2000,"March","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",4,4.02,0.09,6.7
"324-2000",2000,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,3.1
"325-2000",2000,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,2.6
"326-2000",2000,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,2.2
"327-2000",2000,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,2.1
"145-2000",2000,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,2
"146-2000",2000,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,1.2
"147-2000",2000,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,0.8
"148-2000",2000,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",4,4.02,0.09,0.64
"121-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,12
"134-2000",2000,"April","Trailing hose","None",0,"None","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,12
"308-2000",2000,"April","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,6.2
"309-2000",2000,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,4.9
"310-2000",2000,"April","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,4.2
"311-2000",2000,"April","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,3.9
"116-2000",2000,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,4.3
"117-2000",2000,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,2.6
"118-2000",2000,"April","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,1.6
"119-2000",2000,"April","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,6,"Barn acidified",8.5,3.45,0.09,1.2
"154-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,7.8
"167-2000",2000,"April","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,7.8
"328-2000",2000,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,4
"329-2000",2000,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,3.2
"330-2000",2000,"April","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,2.7
"331-2000",2000,"April","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,2.5
"149-2000",2000,"April","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,2.8
"150-2000",2000,"April","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,1.7
"151-2000",2000,"April","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,1.1
"152-2000",2000,"April","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",8.5,3.45,0.09,0.85
"122-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.4,6,"Barn acidified",12.5,3.33,0.09,16
"155-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,6,"Barn acidified",12.5,3.33,0.09,9.2
"140-2000",2000,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.4,6,"Barn acidified",14.3,3.22,0.09,37
"173-2000",2000,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,6,"Barn acidified",14.3,3.22,0.09,21
"123-2000",2000,"Summer","Trailing hose","Grass",10,"None","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,21
"135-2000",2000,"Summer","Trailing hose","None",0,"None","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,21
"312-2000",2000,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,14
"313-2000",2000,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,11
"314-2000",2000,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,8.8
"315-2000",2000,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,7.9
"124-2000",2000,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,12
"125-2000",2000,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,7.5
"126-2000",2000,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,4.5
"127-2000",2000,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,6,"Barn acidified",16.9,3.1,0.09,3.3
"156-2000",2000,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,10
"168-2000",2000,"Summer","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,10
"332-2000",2000,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,7
"333-2000",2000,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,5.6
"334-2000",2000,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,4.5
"335-2000",2000,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,4
"157-2000",2000,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,5.9
"158-2000",2000,"Summer","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,4.1
"159-2000",2000,"Summer","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,2.6
"160-2000",2000,"Summer","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.1,0.09,2
"141-2000",2000,"Late summer-autumn","Broadcast","Grass",10,"None","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,38
"144-2000",2000,"Late summer-autumn","Broadcast","None",0,"None","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,38
"322-2000",2000,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,28
"323-2000",2000,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,28
"142-2000",2000,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,25
"143-2000",2000,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Cattle",6.4,6,"Barn acidified",16.7,3.1,0.09,25
"174-2000",2000,"Late summer-autumn","Broadcast","Grass",10,"None","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,22
"177-2000",2000,"Late summer-autumn","Broadcast","None",0,"None","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,22
"342-2000",2000,"Late summer-autumn","Broadcast","None",0,"Shallow < 12 hr","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,12
"343-2000",2000,"Late summer-autumn","Broadcast","None",0,"Shallow > 12 hr","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,12
"175-2000",2000,"Late summer-autumn","Broadcast","None",0,"Deep < 12 hr","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,9.7
"176-2000",2000,"Late summer-autumn","Broadcast","None",0,"Deep > 12 hr","Pig",3.9,6,"Barn acidified",16.7,3.1,0.09,9.7
"128-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,19
"136-2000",2000,"Autumn","Trailing hose","None",0,"None","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,19
"316-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,12
"317-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,9.2
"318-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,7.4
"319-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,6.8
"129-2000",2000,"Autumn","Trailing hose","None",0,"Deep 24 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,9.4
"130-2000",2000,"Autumn","Trailing hose","None",0,"Deep 12 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,5.8
"131-2000",2000,"Autumn","Trailing hose","None",0,"Deep 6 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,3.5
"132-2000",2000,"Autumn","Trailing hose","None",0,"Deep 4 hr","Cattle",6.4,6,"Barn acidified",14.6,3.33,0.09,2.6
"161-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,9.8
"169-2000",2000,"Autumn","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,9.8
"336-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,6.2
"337-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,4.9
"338-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,4
"339-2000",2000,"Autumn","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,3.6
"162-2000",2000,"Autumn","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,5.1
"163-2000",2000,"Autumn","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",14.6,3.33,0.09,3.4
