"decade","app.timing","app.timing.d","app.mthd","crop.status","app.mthd.d","incorp.timing","man.trt","man.source","man.descrip.d","man.source.d","id","incorp","crop.status.d","incorp.timing.d","EF.2008","EF.2008.source","notes.inputs","man.dm","man.ph","man.tn","man.tan","man.source.pig","t.incorp","incorp.deep","incorp.shallow","crop","crop.hght","crop.notes","grass.hght","cereal.hght","bsth.cereal.hght","month.start","month.end","date.notes","air.temp","wind.2m","rain.rate","app.mthd.bc","app.mthd.os","app.mthd.cs","app.rate","tan.app","app.rate.ni","ct","id1","emis","EF","emis.def","EF.def","man.trt.nm","incorp.nm","EF.rel","EFp"
1980,"Autumn","Efterår","Trailing hose","+","Slæbeslanger","None","None","Cattle","Ikke behandlet gylle","Kvæg","0025-1980","None","+",NA,32,"Table 10",NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Grass",15,"grass seeds crops",10,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,0,30,66,30,168,25,23,0.35,15,0.23,"No treatment","No incorp.",0,35
1980,"Autumn","Efterår","Trailing hose","-","Slæbeslanger","24.0","None","Cattle","Ikke behandlet gylle","Kvæg","0026-1980","Deep","-","24.0",38.1,"Table 12",NA,7.3,7,4,2.2,0,24,TRUE,FALSE,"None",0,NA,NA,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,0,30,66,30,168,26,16,0.25,11,0.17,"No treatment","Deep incorp.",0,25
1980,"Autumn","Efterår","Trailing hose","-","Slæbeslanger","12.0","None","Cattle","Ikke behandlet gylle","Kvæg","0027-1980","Deep","-","12.0",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,0,30,66,30,168,27,11,0.17,9.9,0.15,"No treatment","Deep incorp.",-1.4210854715202e-14,17
1980,"Autumn","Efterår","Trailing hose","-","Slæbeslanger","6.0","None","Cattle","Ikke behandlet gylle","Kvæg","0028-1980","Deep","-","6.0",11,"Table 12",NA,7.3,7,4,2.2,0,6,TRUE,FALSE,"None",0,NA,NA,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,0,30,66,30,168,28,7.2,0.11,8.2,0.12,"No treatment","Deep incorp.",0,11
1980,"Autumn","Efterår","Trailing hose","-","Slæbeslanger","4.0","None","Cattle","Ikke behandlet gylle","Kvæg","0029-1980","Deep","-","4.0",8.1,"Table 12",NA,7.3,7,4,2.2,0,4,TRUE,FALSE,"None",0,NA,NA,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,0,30,66,30,168,29,5.3,0.08,7.3,0.11,"No treatment","Deep incorp.",0,8
1980,"Winter-spring","Vinter-forår","Broadcast","-","Bredspredning","< 12 hours","None","Cattle","Ikke behandlet gylle","Kvæg","0030-1980","Deep","-","< 12 timer",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,11,3,NA,10.9444444444444,3.60333333333333,0.09,1,0,0,30,66,30,168,30,24,0.36,17,0.26,"No treatment","Deep incorp.",0,36
1980,"Winter-spring","Vinter-forår","Broadcast","-","Bredspredning","> 12 hours","None","Cattle","Ikke behandlet gylle","Kvæg","0031-1980","Deep","-","> 12 timer",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,11,3,NA,10.9444444444444,3.60333333333333,0.09,1,0,0,30,66,30,168,31,24,0.36,17,0.26,"No treatment","Deep incorp.",0,36
1980,"Winter-spring","Vinter-forår","Broadcast","-/+","Bredspredning","None","None","Cattle","Ikke behandlet gylle","Kvæg","0032-1980","None","-/+",NA,NA,NA,NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"None",0,NA,NA,0,0,11,3,NA,10.9444444444444,3.60333333333333,0.09,1,0,0,30,66,30,168,32,34,0.52,22,0.33,"No treatment","No incorp.",0,52
1980,"Spring-summer","Forår-sommer","Broadcast","+","Bredspredning","None","None","Cattle","Ikke behandlet gylle","Kvæg","0033-1980","None","+",NA,NA,NA,NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Cereal and grass",15,NA,10,15,0,4,8,NA,13.12,3.404,0.09,1,0,0,30,66,30,168,33,35,0.52,24,0.36,"No treatment","No incorp.",0,52
1980,"Late summer-autumn","Sensommer-efterår","Broadcast","+","Bredspredning","None","None","Cattle","Ikke behandlet gylle","Kvæg","0034-1980","None","+",NA,NA,NA,NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"Grass",10,NA,10,0,0,7,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",15.2,3.41166666666667,0.09,1,0,0,30,66,30,168,34,35,0.53,26,0.39,"No treatment","No incorp.",0,53
