"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation time (h)","Manure source","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Emission factor (% of applied TAN)"
"0042-2010",2010,"Summer, grass","Open slot injection","Grass",10,"None","Pig","None",14.8,2.85,14.7
"0043-1980",1980,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Pig","None",15.1,2.95,14.5
"0043-1990",1990,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Pig","None",16.5,2.7,15.1
"0043-2000",2000,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Pig","None",16.8,2.6,15.3
"0043-2010",2010,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Pig","None",16.6,2.7,15.3
"0044-1980",1980,"Autumn","Open slot injection","Grass",10,"None","Pig","None",12.7,3,13.8
"0044-1990",1990,"Autumn","Open slot injection","Grass",10,"None","Pig","None",12.8,2.9,14
"0044-2000",2000,"Autumn","Open slot injection","Grass",10,"None","Pig","None",13.7,2.9,14.4
"0044-2010",2010,"Autumn","Open slot injection","Grass",10,"None","Pig","None",13.7,3,14.4
"0045-1980",1980,"Autumn","Open slot injection","None",0,"None","Pig","None",12.7,3,13.8
"0045-1990",1990,"Autumn","Open slot injection","None",0,"None","Pig","None",12.8,2.9,14
"0045-2000",2000,"Autumn","Open slot injection","None",0,"None","Pig","None",13.7,2.9,14.4
"0045-2010",2010,"Autumn","Open slot injection","None",0,"None","Pig","None",13.7,3,14.4
"0046-1980",1980,"March","Trailing hose","None",0,"24.0","Pig","None",2.4,3.8,9.54
"0046-1990",1990,"March","Trailing hose","None",0,"24.0","Pig","None",3.5,3.9,10.3
"0046-2000",2000,"March","Trailing hose","None",0,"24.0","Pig","None",3.1,3.5,9.94
"0046-2010",2010,"March","Trailing hose","None",0,"24.0","Pig","None",4,3.5,10.4
"0047-1980",1980,"March","Trailing hose","None",0,"12.0","Pig","None",2.4,3.8,8.18
"0047-1990",1990,"March","Trailing hose","None",0,"12.0","Pig","None",3.5,3.9,8.88
"0047-2000",2000,"March","Trailing hose","None",0,"12.0","Pig","None",3.1,3.5,8.51
"0047-2010",2010,"March","Trailing hose","None",0,"12.0","Pig","None",4,3.5,8.94
"0048-1980",1980,"March","Trailing hose","None",0,"6.0","Pig","None",2.4,3.8,7.25
"0048-1990",1990,"March","Trailing hose","None",0,"6.0","Pig","None",3.5,3.9,7.83
"0048-2000",2000,"March","Trailing hose","None",0,"6.0","Pig","None",3.1,3.5,7.52
"0048-2010",2010,"March","Trailing hose","None",0,"6.0","Pig","None",4,3.5,7.88
"0049-1980",1980,"March","Trailing hose","None",0,"4.0","Pig","None",2.4,3.8,6.86
"0049-1990",1990,"March","Trailing hose","None",0,"4.0","Pig","None",3.5,3.9,7.38
"0049-2000",2000,"March","Trailing hose","None",0,"4.0","Pig","None",3.1,3.5,7.11
"0049-2010",2010,"March","Trailing hose","None",0,"4.0","Pig","None",4,3.5,7.43
"0050-1980",1980,"April","Trailing hose","None",0,"24.0","Pig","None",5.9,3.3,10.9
"0050-1990",1990,"April","Trailing hose","None",0,"24.0","Pig","None",6.7,3.5,11.8
"0050-2000",2000,"April","Trailing hose","None",0,"24.0","Pig","None",7.6,3,12.1
"0050-2010",2010,"April","Trailing hose","None",0,"24.0","Pig","None",7.6,3.4,12.4
"0051-1980",1980,"April","Trailing hose","None",0,"12.0","Pig","None",5.9,3.3,9.45
"0051-1990",1990,"April","Trailing hose","None",0,"12.0","Pig","None",6.7,3.5,10.3
"0051-2000",2000,"April","Trailing hose","None",0,"12.0","Pig","None",7.6,3,10.5
"0051-2010",2010,"April","Trailing hose","None",0,"12.0","Pig","None",7.6,3.4,10.9
"0052-1980",1980,"April","Trailing hose","None",0,"6.0","Pig","None",5.9,3.3,8.35
"0052-1990",1990,"April","Trailing hose","None",0,"6.0","Pig","None",6.7,3.5,9.05
"0052-2000",2000,"April","Trailing hose","None",0,"6.0","Pig","None",7.6,3,9.26
"0052-2010",2010,"April","Trailing hose","None",0,"6.0","Pig","None",7.6,3.4,9.55
"0053-1980",1980,"April","Trailing hose","None",0,"4.0","Pig","None",5.9,3.3,7.86
"0053-1990",1990,"April","Trailing hose","None",0,"4.0","Pig","None",6.7,3.5,8.48
"0053-2000",2000,"April","Trailing hose","None",0,"4.0","Pig","None",7.6,3,8.67
"0053-2010",2010,"April","Trailing hose","None",0,"4.0","Pig","None",7.6,3.4,8.92
"0054-1980",1980,"March","Trailing hose","Winter cereal",15,"None","Pig","None",2.4,3.8,19.6
"0054-1990",1990,"March","Trailing hose","Winter cereal",15,"None","Pig","None",3.5,3.9,20.4
"0054-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Pig","None",3.1,3.5,20
"0054-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig","None",4,3.5,20.6
"0055-1980",1980,"April","Trailing hose","Winter cereal",25,"None","Pig","None",5.9,3.3,21.1
"0055-1990",1990,"April","Trailing hose","Winter cereal",25,"None","Pig","None",6.7,3.5,21.8
"0055-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Pig","None",7.6,3,22.2
"0055-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Pig","None",7.6,3.4,22.5
"0056-1980",1980,"May","Trailing hose","Spring cereal",15,"None","Pig","None",11.1,3.2,24.7
"0056-1990",1990,"May","Trailing hose","Spring cereal",15,"None","Pig","None",10.8,3,24.8
"0056-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Pig","None",11.6,2.9,25.5
"0056-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig","None",11.5,3.1,25.6
"0057-1980",1980,"Summer","Trailing hose","Grass",10,"None","Pig","None",14.7,2.77,27.3
"0057-1990",1990,"Summer","Trailing hose","Grass",10,"None","Pig","None",15.5,2.77,28.6
"0057-2000",2000,"Summer","Trailing hose","Grass",10,"None","Pig","None",16,2.7,29.2
"0057-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig","None",16,2.77,29.2
"0058-1980",1980,"Summer","Trailing hose","None",0,"24.0","Pig","None",14.7,2.77,14.8
"0058-1990",1990,"Summer","Trailing hose","None",0,"24.0","Pig","None",15.5,2.77,16.1
"0058-2000",2000,"Summer","Trailing hose","None",0,"24.0","Pig","None",16,2.7,16.7
"0058-2010",2010,"Summer","Trailing hose","None",0,"24.0","Pig","None",16,2.77,16.7
"0059-1980",1980,"Summer","Trailing hose","None",0,"12.0","Pig","None",14.7,2.77,13.5
"0059-1990",1990,"Summer","Trailing hose","None",0,"12.0","Pig","None",15.5,2.77,14.7
"0059-2000",2000,"Summer","Trailing hose","None",0,"12.0","Pig","None",16,2.7,15.3
"0059-2010",2010,"Summer","Trailing hose","None",0,"12.0","Pig","None",16,2.77,15.3
"0060-1980",1980,"Summer","Trailing hose","None",0,"6.0","Pig","None",14.7,2.77,12.4
"0060-1990",1990,"Summer","Trailing hose","None",0,"6.0","Pig","None",15.5,2.77,13.6
"0060-2000",2000,"Summer","Trailing hose","None",0,"6.0","Pig","None",16,2.7,14.1
"0060-2010",2010,"Summer","Trailing hose","None",0,"6.0","Pig","None",16,2.77,14.1
"0061-1980",1980,"Summer","Trailing hose","None",0,"4.0","Pig","None",14.7,2.77,11.7
"0061-1990",1990,"Summer","Trailing hose","None",0,"4.0","Pig","None",15.5,2.77,12.8
"0061-2000",2000,"Summer","Trailing hose","None",0,"4.0","Pig","None",16,2.7,13.3
"0061-2010",2010,"Summer","Trailing hose","None",0,"4.0","Pig","None",16,2.77,13.3
"0062-1980",1980,"Autumn","Trailing hose","Grass",15,"None","Pig","None",12.7,3,26.2
"0062-1990",1990,"Autumn","Trailing hose","Grass",15,"None","Pig","None",12.8,2.9,26.8
"0062-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Pig","None",13.7,2.9,27.7
"0062-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Pig","None",13.7,3,27.8
"0063-1980",1980,"Autumn","Trailing hose","None",0,"24.0","Pig","None",12.7,3,14.1
"0063-1990",1990,"Autumn","Trailing hose","None",0,"24.0","Pig","None",12.8,2.9,14.8
"0063-2000",2000,"Autumn","Trailing hose","None",0,"24.0","Pig","None",13.7,2.9,15.6
"0063-2010",2010,"Autumn","Trailing hose","None",0,"24.0","Pig","None",13.7,3,15.7
"0064-1980",1980,"Autumn","Trailing hose","None",0,"12.0","Pig","None",12.7,3,12.7
"0064-1990",1990,"Autumn","Trailing hose","None",0,"12.0","Pig","None",12.8,2.9,13.4
"0064-2000",2000,"Autumn","Trailing hose","None",0,"12.0","Pig","None",13.7,2.9,14.2
"0064-2010",2010,"Autumn","Trailing hose","None",0,"12.0","Pig","None",13.7,3,14.3
"0065-1980",1980,"Autumn","Trailing hose","None",0,"6.0","Pig","None",12.7,3,11.5
"0065-1990",1990,"Autumn","Trailing hose","None",0,"6.0","Pig","None",12.8,2.9,12
"0065-2000",2000,"Autumn","Trailing hose","None",0,"6.0","Pig","None",13.7,2.9,12.9
"0065-2010",2010,"Autumn","Trailing hose","None",0,"6.0","Pig","None",13.7,3,12.9
"0066-1980",1980,"Autumn","Trailing hose","None",0,"4.0","Pig","None",12.7,3,10.8
"0066-1990",1990,"Autumn","Trailing hose","None",0,"4.0","Pig","None",12.8,2.9,11.3
"0066-2000",2000,"Autumn","Trailing hose","None",0,"4.0","Pig","None",13.7,2.9,12
"0066-2010",2010,"Autumn","Trailing hose","None",0,"4.0","Pig","None",13.7,3,12.1
"0067-1980",1980,"Winter-spring","Broadcast","None",0,"< 12 hours","Pig","None",10,3.13,13.9
"0067-1990",1990,"Winter-spring","Broadcast","None",0,"< 12 hours","Pig","None",10.4,3.12,15.2
"0067-2000",2000,"Winter-spring","Broadcast","None",0,"< 12 hours","Pig","None",11,2.98,15.8
"0067-2010",2010,"Winter-spring","Broadcast","None",0,"< 12 hours","Pig","None",11.1,3.07,15.9
"0068-1980",1980,"Winter-spring","Broadcast","None",0,"> 12 hours","Pig","None",10,3.13,13.9
"0068-1990",1990,"Winter-spring","Broadcast","None",0,"> 12 hours","Pig","None",10.4,3.12,15.2
"0068-2000",2000,"Winter-spring","Broadcast","None",0,"> 12 hours","Pig","None",11,2.98,15.8
"0068-2010",2010,"Winter-spring","Broadcast","None",0,"> 12 hours","Pig","None",11.1,3.07,15.9
"0069-1980",1980,"Winter-spring","Broadcast","None",0,"None","Pig","None",10,3.13,26.5
"0069-1990",1990,"Winter-spring","Broadcast","None",0,"None","Pig","None",10.4,3.12,27.6
"0069-2000",2000,"Winter-spring","Broadcast","None",0,"None","Pig","None",11,2.98,28.4
"0069-2010",2010,"Winter-spring","Broadcast","None",0,"None","Pig","None",11.1,3.07,28.4
"0070-1980",1980,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig","None",12.2,2.96,27.4
"0070-1990",1990,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig","None",12.8,2.96,28.7
"0070-2000",2000,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig","None",13.4,2.8,29.4
"0070-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig","None",13.4,2.96,29.4
